Date,High,Low,Mid,Last,Bid,Ask,Volume
3/23/2018,8771.99465,8271.1,8659.35,8661.8,8658.7,8660,43242.14435
3/22/2018,9095.922117,8450,8690.55,8690.9,8690.2,8690.9,54383.11783
3/21/2018,9177.5,8752,8870.05,8870,8870,8870.1,42946.49449
3/20/2018,9040,8305.1,8931.95,8932,8931.9,8932,55419.10624
3/19/2018,8717,8085.7,8499.95,8505,8499.9,8500,74322.99487
3/18/2018,8300,7240,8148.95,8147,8148.8,8149.1,87116.34669
3/17/2018,8515.9,7728.1,7993.05,7993,7993,7993.1,50244.9708
3/16/2018,8604.5,7902,8484.65,8494.3,8481,8488.3,54272.136
3/15/2018,8418,7665.1,8268.95,8267.7,8268.9,8269,83733.54257
3/14/2018,9439.6,7916,8175.05,8175.1,8175,8175.1,77582.56592
3/13/2018,9482.4,8822,9150.55,9150.6,9150.5,9150.6,62993.71256
3/12/2018,9900,8770,9098.45,9098.4,9098.4,9098.5,67217.54403
3/11/2018,9729,8428,9483.6,9485.2,9482.1,9485.1,70288.12382
3/10/2018,9506.4,8670.9,8807.75,8807.7,8807.7,8807.8,52902.00882
3/9/2018,9428,8342,9302.7,9303,9302.4,9303,98498.92108
3/8/2018,10112,9025,9352.55,9352.570278,9352.5,9352.6,67030.16972
3/7/2018,10899,9400,9882.05,9880,9880,9884.1,75295.14845
3/6/2018,11553,10567,10684,10683,10683,10685,45055.5306
3/5/2018,11700,11400,11544,11545,11543,11545,26849.34705
3/4/2018,11549,11050,11534.5,11534,11534,11535,27917.26145
3/3/2018,11530,11013,11463.5,11463,11463,11464,30574.92377
3/2/2018,11189,10762,11021.5,11022,11021,11022,29056.32864
3/1/2018,11095,10210,10937,10940,10934,10940,33718.85156
2/28/2018,11065,10261,10294.5,10294,10294,10295,44130.33575
2/27/2018,10888,10125,10668.5,10668,10668,10669,39458.89608
2/26/2018,10439,9359.9,10300.5,10300,10300,10301,45945.39405
2/25/2018,9840,9280.4,9538.65,9534.5,9536.3,9541,30710.7066
2/24/2018,10500,9350.3,9680.3,9680.2,9680,9680.6,55742.34357
2/23/2018,10395,9583.1,10207.5,10207,10207,10208,59014.13775
2/22/2018,10915,9740,9848,9839.2,9839,9857,71061.8868
2/21/2018,11239,10200,10474.5,10474,10474,10475,77520.22761
2/20/2018,11788,11100,11173.5,11166,11173,11174,60400.50826
2/19/2018,11250,10308,11161.5,11162,11161,11162,51300.0487
2/18/2018,11250,10122,10462,10460,10461,10463,69489.37828
2/17/2018,11084,10049,11016.5,11015,11016,11017,52530.11293
2/16/2018,10271,9670,10167.5,10175,10167,10168,44322.95513
2/15/2018,10176,9338,10129.5,10130,10129,10130,67120.74482
2/14/2018,9489,8500,9471.45,9469,9470,9472.9,50278.68722
2/13/2018,8952.9,8313.521921,8536.35,8536.2,8536.2,8536.5,40203.21619
2/12/2018,9000,8000,8887.4,8885.3,8885.3,8889.5,51267.10478
2/11/2018,8572,7851,8069.95,8069,8069,8070.9,51740.35142
2/10/2018,9074.9,8151.3,8569.45,8569.1,8569,8569.9,68230.55743
2/9/2018,8750,7724.9,8699.95,8700,8699.9,8700,63095.10584
2/8/2018,8648.9,7535,8242.1,8240.2,8239.9,8244.3,78925.00708
2/7/2018,8488.9,7175.1,7666.75,7670,7666.5,7667,105762.992
2/6/2018,7880,6000,7732.25,7732.2,7732.2,7732.3,193091.8425
2/5/2018,8380,6651,6886.1,6884,6885.8,6886.4,130669.1124
2/4/2018,9410,7809,8248.6,8249,8248.2,8249,74255.84163
2/3/2018,9499,8180,9154.75,9160,9153.5,9156,51843.05191
2/2/2018,9274,7960,8850.85,8850.6,8850.7,8851,123331.9763
2/1/2018,10336,8941,9273.5,9273,9273,9274,78876.96276
1/31/2018,10414,9760,10191.5,10192,10191,10192,43449.54345
1/30/2018,11252,9860.4,10076.5,10077,10076,10077,61000.07113
1/29/2018,11975,11070,11223.5,11223,11223,11224,25482.56244
1/28/2018,12190,11376,11849.5,11849,11849,11850,29746.36214
1/27/2018,11689,10800,11375,11380,11370,11380,34402.67408
