Date,High,Low,Mid,Last,Bid,Ask,Volume
1/26/2018,11700,10276,11130.5,11131,11130,11131,56653.17026
1/25/2018,11734,10845,11187.5,11187,11187,11188,34904.3677
1/24/2018,11427,9900,10826.5,10826,10826,10827,63856.85973
1/23/2018,11900,10009,10788.5,10789,10788,10789,66349.39524
1/22/2018,12732,11015,11519.5,11522,11519,11520,53628.32306
1/21/2018,13017,11407,12731.5,12731,12731,12732,46301.04501
1/20/2018,11900,10647,11473.5,11470,11472,11475,48552.90683
1/19/2018,11904,10515,11008.5,10998.73485,11003,11014,85181.48481
1/18/2018,11497,9231.1,11121,11122,11120,11122,132258.1617
1/17/2018,13617,9940,11068,11069.47183,11067,11069,131824.7841
1/16/2018,14356,13300,13590,13597,13584,13596,33521.50473
1/15/2018,14393,12874.34212,13548.5,13549,13548,13549,35606.43431
1/14/2018,14580,13750,14192,14197,14191,14193,28991.09666
1/13/2018,14100,12751,13801,13800,13800,13802,37434.61422
1/12/2018,14999,12639,13257,13254,13253,13261,71651.54387
1/11/2018,14905,13300,14899.5,14900,14899,14900,57320.56713
1/10/2018,15355,14122,14463,14462,14457,14469,43493.59283
1/9/2018,16329,13755,14919.5,14920,14919,14920,64931.44905
1/8/2018,17176,15712,16180.5,16180,16180,16181,30864.69207
1/7/2018,17252,16251,17175.5,17175,17175,17176,29599.44867
1/6/2018,17105,14725,16898,16900,16896,16900,54639.53537
1/5/2018,15422.15785,14060,15169,15175,15163,15175,46460.1316
1/4/2018,15428.83092,14500,15150.5,15134,15150,15151,38358.56107
1/3/2018,15500,12795,14715,14723.09575,14712,14718,56195.09869
1/2/2018,13893,12777,13371,13375,13366,13376,29564.88698
1/1/2018,14210,12166,13763.5,13769,13757,13770,43269.64132
12/31/2017,14417,11651,12380.5,12385,12380,12381,75442.70968
12/30/2017,15131,13826,14308.5,14308,14308,14309,47997.4431
12/29/2017,15468,13145,14323.5,14323,14323,14324,72902.79658
12/28/2017,16494,14454,15374.5,15375,15374,15375,54988.91094
12/27/2017,16060,13531,15679.5,15680,15679,15680,63432.20308
12/26/2017,14278,12675,13633.5,13634,13633,13634,45606.38794
12/25/2017,14047,11600,13511,13517,13505,13517,72381.70088
12/24/2017,14999,12521,14035.5,14036,14035,14036,59927.05101
12/23/2017,15842.43,10700,13173.5,13174,13173,13174,178636.1931
12/22/2017,17333,14801,15650.5,15650,15650,15651,65588.57683
12/21/2017,17709,15500,16424.5,16425,16423,16426,82128.70321
12/20/2017,18987,16400,17344.5,17340,17344,17345,66677.17953
12/19/2017,19175,18010,18924.5,18925,18924,18925,53565.33631
12/18/2017,19891,18622,18965.5,18959,18961,18970,51806.64329
12/17/2017,19550,17050,19209,19210,19208,19210,48267.89256
12/16/2017,18111,16349,17569.5,17569.54956,17569,17570,63132.27813
12/15/2017,16999,15851,16384.5,16384,16384,16385,45732.47576
12/14/2017,17293,15632,16172,16172,16171,16173,62873.9786
12/12/2017,17450,14900,16753.5,16754,16753,16754,78088.98466
12/11/2017,15741,12730.63686,14932,14937,14926,14938,107145.646
12/10/2017,16300,13010,14660.5,14660,14660,14661,77819.74691
12/9/2017,17171,13722,15833,15816.78052,15822,15844,124036.2096
12/8/2017,16649,13139,16610,16607,16608,16612,141225.6929
12/7/2017,13599,11590,13508,13503,13507,13509,83642.06608
12/6/2017,11961,11405,11591.5,11590,11591,11592,48911.13861
12/5/2017,11600,10718,11598.5,11599,11598,11599,63775.26848
12/4/2017,11874,10161,11161.5,11161,11161,11162,93064.05355
12/3/2017,11190,10621,10876.5,10876,10876,10877,49703.48541
12/2/2017,10950,9370.1,10860.5,10860,10860,10861,84145.00729
12/1/2017,10542,8801,9907.05,9907.1,9907,9907.1,129048.938
11/30/2017,11441,9000,9775.3,9772,9772,9778.6,182875.1718
11/29/2017,9999,9580.8,9892.35,9894.9,9889.8,9894.9,47105.8203
11/28/2017,9771,9231,9725.65,9725.9,9725.6,9725.7,66628.42582
11/27/2017,9495,8746.9,9302.1,9303,9301.7,9302.5,67604.58822
11/25/2017,8352.1,7871,8191.3,8191.6,8190.9,8191.7,42835.27412
11/24/2017,8268,7970,7981.55,7985.4,7977.7,7985.4,32136.41713
11/23/2017,8310,8055,8230.05,8230,8230,8230.1,28858.50316
11/22/2017,8380,7755.6,8080.85,8079.3,8079.1,8082.6,71851.27391
11/21/2017,8315,7925,8249.35,8248.8,8248.8,8249.9,38281.50492
11/20/2017,8130,7650,8051.45,8050.7,8050.5,8052.4,39114.74949
11/19/2017,7867.8,7412,7773.25,7773.3,7773.2,7773.3,40707.79312
11/18/2017,8040,7505,7674.95,7675.9,7674.1,7675.8,75935.97736
11/17/2017,8020,7091,7866.3,7864.2,7865.4,7867.2,85876.3871
11/16/2017,7319,6589.9,7269.1,7265.840952,7265.9,7272.3,71614.83498
11/15/2017,6689.5,6301,6589.95,6590,6589.9,6590,49485.36584
11/14/2017,6682,5780,6477.55,6476.5,6475.5,6479.6,110413.1396
11/13/2017,6469.6,5400.2,5819.35,5810.7,5819.3,5819.4,172712.4711
11/12/2017,6789,6163.2,6301.05,6302.7,6299.2,6302.9,72841.28595
11/11/2017,7324,6405,6544.3,6541.2,6541.2,6547.4,88416.47311
11/10/2017,7450,7000,7126.45,7126.4,7126.4,7126.5,50138.92451
11/9/2017,7899.9,6977.4,7447.9,7447,7446.2,7449.6,97308.03649
11/8/2017,7220,6948,7102.05,7102,7102,7102.1,37539.62435
11/7/2017,7440,6911,6955.7,6956.5,6954.9,6956.5,63254.49195
11/5/2017,7598,7272,7329.35,7321.8,7327.7,7331,44704.418
11/4/2017,7530,6930.1,7379.35,7379.4,7379.3,7379.4,48163.07988
11/3/2017,7448,6820,7247.25,7247.2,7247.2,7247.3,63495.49522
11/2/2017,7350,6625.6,6989.65,6987.7,6989.6,6989.7,98593.85676
11/1/2017,6676,6344.5,6659.05,6659.1,6659,6659.1,56301.83596
10/31/2017,6450,6082.5,6386.6,6387.4,6386.1,6387.1,37270.00122
10/30/2017,6239,6006.2,6094.5,6094,6094.1,6094.9,34779.08192
10/29/2017,6345,5660,6184.55,6184.6,6184.5,6184.6,60176.6029
10/28/2017,5864,5632,5738.7,5740,5737.8,5739.6,26543.28715
10/27/2017,6020,5681,5771.75,5771.8,5771.7,5771.8,40163.54169
10/26/2017,5966.6,5626.4,5876.15,5876.2,5876.1,5876.2,44746.79047
10/25/2017,5697.1,5365.3,5664.95,5665,5664.9,5665,43115.38722
10/24/2017,5933,5457.4,5492.5,5491,5491,5494,65545.43406
10/23/2017,6055,5621,5880.15,5889.1,5880.1,5880.2,66996.60056
10/22/2017,6075.3,5705,5912.7,5910,5910,5915.4,49787.05345
10/21/2017,6199.9,5862.8,6075.25,6075.2,6075.2,6075.3,52947.31422
10/20/2017,6088.4,5603.3,6004.1,6004.9,6003.3,6004.9,60815.136
10/19/2017,5744,5505.5,5709.35,5709.3,5709.3,5709.4,38897.36963
10/18/2017,5613,5114,5582.8,5582.9,5582.5,5583.1,68519.95534
10/17/2017,5810,5511,5554.95,5555,5554.9,5555,34328.91571
10/16/2017,5771,5570,5714.95,5715,5714.9,5715,32246.56879
10/15/2017,5877,5450,5715.95,5718.2,5715.9,5716,56987.01129
10/14/2017,5784.8,5564.3,5749.95,5749.9,5749.9,5750,34331.79082
10/13/2017,5920,5312.6,5644.5,5644.1,5643.1,5645.9,101794.5823
10/12/2017,5419.8,4810.4,5327.15,5312.6,5326.3,5328,76109.49989
10/11/2017,4881.4,4715,4815.1,4815,4815,4815.2,31848.43264
10/10/2017,4940,4750,4790.85,4790.9,4790.8,4790.9,40842.55404
10/9/2017,4879.8,4551,4752.25,4752.2,4752.2,4752.3,48581.82621
10/8/2017,4627.9,4416.3,4627.1,4627.1,4627,4627.2,30946.7142
10/7/2017,4505,4309,4465.25,4465.9,4465.1,4465.4,15906.35535
10/6/2017,4425.8,4282.2,4351.95,4352,4351.9,4352,26874.43065
10/5/2017,4364.7,4133,4359.85,4359.7,4359.8,4359.9,24144.66919
10/4/2017,4359.2,4174.3,4222.05,4222.1,4222,4222.1,26924.77063
10/3/2017,4439.9,4210.1,4308.7,4310,4307.3,4310.1,28192.47179
10/2/2017,4482,4359,4374.1,4374.1,4373.3,4374.9,29947.91702
10/1/2017,4424,4248.6,4406.7,4407,4406.4,4407,27208.64652
9/30/2017,4397,4140,4363.6,4364.5,4363.5,4363.7,31863.15127
9/29/2017,4245,4024.4,4162.65,4162.6,4162.6,4162.7,38770.3243
9/28/2017,4269,4120,4180.05,4180.1,4180,4180.1,37736.70531
9/27/2017,4220,3860.7,4196.25,4196.1,4196.2,4196.3,47356.49945
9/26/2017,3985,3838,3885.85,3886,3885.8,3885.9,21715.63474
9/25/2017,3977,3652,3924.4,3924.5,3924.3,3924.5,39622.86583
9/24/2017,3785.7,3615.5,3680.65,3681,3680.6,3680.7,21618.7665
9/23/2017,3808.7,3555,3751.25,3751.8,3750.6,3751.9,25229.41857
9/22/2017,3748,3490,3604.4,3604.1,3604.1,3604.7,50152.06383
9/21/2017,3958.1,3560,3620.15,3620.1,3620.1,3620.2,59077.78403
9/20/2017,4049,3829,3948.95,3949,3948.9,3949,30525.23067
9/19/2017,4114,3836.2,3917,3917.7,3916.8,3917.2,47806.46753
9/18/2017,4119,3645.5,4048.95,4049,4048,4049.9,58980.8089
9/17/2017,3782,3465.1,3701.1,3701,3700.9,3701.3,37076.77951
9/16/2017,3875,3511.1,3710.95,3710.6,3710.8,3711.1,71755.89433
9/15/2017,3809,2980.4,3742.6,3741.4,3741.3,3743.9,187869.1866
9/14/2017,3936,3258,3297.9,3296.6,3296.8,3299,123047.8488
9/13/2017,4169.7,3731.7,3935.35,3935.1,3935.1,3935.6,70069.04967
9/12/2017,4379,4050,4168.3,4169.5,4167.1,4169.5,39448.5309
9/11/2017,4383.2,4123,4208.45,4208.5,4208.4,4208.5,31850.72374
9/10/2017,4349.9,3974.1,4262.65,4262.7,4262.6,4262.7,45285.89734
9/9/2017,4395.2,4151,4339.25,4338.5,4338.5,4340,31851.21745
9/8/2017,4694.9,4105,4311.4,4314.7,4308.1,4314.7,59983.42828
9/7/2017,4675,4455.1,4619.3,4622,4616.1,4622.5,23309.31323
9/6/2017,4633.7,4352.4,4609.85,4614.4,4605.1,4614.6,40566.83652
9/5/2017,4448,3900.1,4447.95,4448,4447.9,4448,57557.78834
9/4/2017,4621,4052,4250.15,4250.1,4250.1,4250.2,57641.41472
9/3/2017,4699.9,4331,4562.95,4563,4562.9,4563,34156.0387
9/2/2017,4970,4400.1,4435.75,4435.8,4435.7,4435.8,54498.39083
9/1/2017,4936.9,4660,4863.85,4863.8,4863.8,4863.9,28435.74499
8/31/2017,4749.9,4566.9,4725.75,4725.7,4725.7,4725.8,18426.10566
8/30/2017,4643,4481,4571.25,4571.5,4571.2,4571.3,17221.66044
8/29/2017,4648.8,4325.1,4602.75,4602.7,4602.7,4602.8,32433.72044
8/28/2017,4395.5,4175,4369.95,4369.9,4369.9,4370,21264.29485
8/27/2017,4406.7,4304.4,4338,4338,4337.9,4338.1,11298.84715
8/26/2017,4364,4240.7,4339.05,4337.6,4337.8,4340.3,15042.39919
8/25/2017,4464.2,4250,4363.85,4363.8,4363.8,4363.9,29633.62498
8/24/2017,4340.7,4089.9,4331.15,4331.2,4331.1,4331.2,20289.48296
8/23/2017,4255.2,4014.5,4143.4,4143.2,4143.3,4143.5,28280.67393
8/22/2017,4141.9,3599,4038.05,4038,4038,4038.1,61237.38743
8/21/2017,4140.4,3951,4009.1,4007.7,4007.7,4010.5,28694.08692
8/20/2017,4199.9,4045.5,4139.95,4139.9,4139.9,4140,23204.37489
8/19/2017,4187,3907,4154.95,4154.5,4154.6,4155.3,41679.52124
8/18/2017,4360,3954,4105.5,4101.5,4103,4108,46468.29259
8/17/2017,4492.3,4152,4311.7,4315.2,4308.4,4315,41233.30559
8/16/2017,4380,3925.1,4324.85,4324.7,4324.7,4325,34444.21473
8/15/2017,4430,3832.5,4182.15,4182.1,4182.1,4182.2,64693.06034
8/14/2017,4320,3951,4247.95,4247.9,4247.9,4248,33609.0878
8/13/2017,4190,3810,4109.25,4109,4109,4109.5,48187.09885
8/12/2017,3970.1,3589.5,3834.5,3834.6,3834.4,3834.6,38993.85991
8/11/2017,3675.3,3380,3664,3663.2,3663.2,3664.8,24799.11082
8/10/2017,3447,3295.1,3425.55,3425.6,3425.5,3425.6,19261.00935
8/9/2017,3451.2,3235.1,3293.1,3292.3,3292.8,3293.4,26244.01119
8/8/2017,3483.8,3340,3450.55,3450.7,3450.5,3450.6,32193.96428
8/7/2017,3440,3190,3387.75,3388,3387.5,3388,24367.22558
8/6/2017,3315.5,3155.8,3251.45,3250.2,3250.4,3252.5,16512.75892
8/5/2017,3339.5,2842.8,3235.2,3234.7,3234.7,3235.7,50677.69132
8/4/2017,2876,2762.1,2853.95,2854,2853.9,2854,18816.30228
8/3/2017,2820,2673.4,2804.95,2804.9,2804.9,2805,17103.84048
8/2/2017,2758,2610,2689.05,2689.2,2689,2689.1,23326.72116
8/1/2017,2902.2,2604,2706.05,2706,2706,2706.1,42472.74622
7/31/2017,2883.5,2694.4,2848.05,2848,2848,2848.1,28480.80078
7/30/2017,2760,2582.9,2730.8,2730,2730.3,2731.3,34478.91048
7/29/2017,2800,2662,2699.15,2699,2698.9,2699.4,23981.38
7/28/2017,2820,2651,2787.45,2787.5,2787.4,2787.5,41395.61222
7/27/2017,2679.7,2503.208416,2679.65,2679.5,2679.6,2679.7,31654.75087
7/26/2017,2612,2404,2511.05,2511,2511,2511.1,32960.7668
7/25/2017,2790.1,2417,2541.95,2542.1,2541.9,2542,55775.63809
7/24/2017,2812,2707.1,2772.15,2772.5,2771.7,2772.6,21145.71222
7/23/2017,2877.5,2655,2729.85,2727.8,2729.3,2730.4,35204.68391
7/22/2017,2917,2642.8,2836.35,2836,2836,2836.7,35645.03203
7/21/2017,2922,2615,2697.8,2698,2697.6,2698,66653.29487
7/20/2017,2847,2226.3,2841.95,2844.9,2838,2845.9,74227.68613
7/19/2017,2400,2213.9,2253.25,2253.3,2253.2,2253.3,35999.4772
7/18/2017,2380.2,2139,2293.15,2295.2,2291.6,2294.7,45484.66173
7/17/2017,2196,1903.6,2194.95,2194.9,2194.9,2195,39390.34285
7/16/2017,2051.1,1826.2,1949.35,1950,1949.2,1949.5,53266.40299
7/15/2017,2218.9,1975.7,2034.95,2034.9,2034.9,2035,40552.08524
7/14/2017,2345.6,2138,2202.05,2203,2201.1,2203,27458.42173
7/13/2017,2400,2293.1,2335.4,2335.7,2335.1,2335.7,18638.31658
7/12/2017,2397,2190,2364.9,2364.1,2364.1,2365.7,22238.87666
7/11/2017,2375,2182,2315.65,2315.6,2315.6,2315.7,36479.9258
7/10/2017,2499.9,2300.2,2312.35,2311.4,2310.8,2313.9,24351.8546
7/9/2017,2555.7,2491,2496.95,2496.9,2496.9,2497,7242.909366
7/8/2017,2542.6,2436.1,2541.85,2541.4,2541.8,2541.9,10785.00978
7/7/2017,2601.5,2447,2454.05,2453.8,2453.8,2454.3,16598.0959
7/6/2017,2607.1,2546,2599.05,2597.5,2599,2599.1,10008.20103
7/5/2017,2619,2477.9,2601.15,2601.2,2601.1,2601.2,13858.39203
7/4/2017,2628.6,2511,2560.55,2560.9,2560.3,2560.8,15491.33522
7/3/2017,2587.4,2416.2,2550.75,2550.5,2550.5,2551,16459.28579
7/2/2017,2462.8,2302,2437.15,2437.2,2437.1,2437.2,11942.13818
7/1/2017,2441,2291,2330.6,2330,2330.2,2331,15483.27033
6/30/2017,2511.1,2425.7,2425.95,2426,2425.7,2426.2,9951.054355
6/29/2017,2537.8,2424,2492.6,2490.3,2490.5,2494.7,12903.73041
6/28/2017,2566.8,2403.2,2512.4,2511.7,2511.7,2513.1,23085.32347
6/27/2017,2500,2207.8,2496.7,2495.6,2495.6,2497.8,34606.3329
6/26/2017,2510.4,2258.7,2397.45,2397.5,2397.4,2397.5,33998.13299
6/25/2017,2595,2368.3,2464.95,2462.2,2462.8,2467.1,18250.09762
6/24/2017,2700,2452.869207,2485,2485.2,2484.8,2485.2,16835.50147
6/23/2017,2726,2652,2692.25,2692.1,2692.2,2692.3,7851.204547
6/22/2017,2709,2554.8,2675.2,2675,2675,2675.4,15484.26223
6/21/2017,2760,2572.3,2600.35,2601.1,2600,2600.7,24543.2393
6/20/2017,2780,2565.7,2746.7,2747.3,2746.1,2747.3,20269.37169
6/19/2017,2593.9,2472.8,2566.8,2568,2565.9,2567.7,13522.69276
6/18/2017,2640,2420,2479.4,2479.1,2479,2479.8,20567.79054
6/17/2017,2635,2368.1,2629.95,2630,2629.9,2630,16108.85988
6/16/2017,2487,2257.8,2423.75,2423.7,2423.7,2423.8,24032.48946
6/15/2017,2455,2046,2382.6,2385.2,2380.2,2385,55325.68685
6/14/2017,2722.422782,2280,2372,2374.2,2369.5,2374.5,33787.33442
6/13/2017,2730,2528.1,2680.95,2681,2680.9,2681,24145.39328
6/12/2017,2962.2,2284.4,2543.7,2543.8,2543.6,2543.8,47251.44471
6/11/2017,3003,2791,2934.85,2936.6,2932.6,2937.1,19846.74807
6/10/2017,2890.5,2711.1,2813.55,2814.3,2812.9,2814.2,15375.42671
6/9/2017,2849.8,2763.9,2808.55,2808.6,2808.5,2808.6,9590.572118
6/8/2017,2780,2527,2776.15,2775.6,2775.4,2776.9,17385.43907
6/7/2017,2850,2600.1,2674.6,2674.8,2673.3,2675.9,21612.69352
6/6/2017,2899.7,2596.7,2829.1,2828.7,2828.7,2829.5,42863.47286
6/5/2017,2649.5,2472.3,2618.25,2618.91044,2617.5,2619,15069.17423
6/4/2017,2498,2365,2474.15,2476.2,2472.2,2476.1,11862.21294
6/3/2017,2481.2,2347.6,2476.75,2477.2,2476.4,2477.1,11912.73749
6/2/2017,2390,2262.8,2389.95,2390,2389.9,2390,11467.50447
6/1/2017,2368.2,2180.028761,2287.85,2287.8,2287.8,2287.9,19095.14573
5/31/2017,2241,2000,2195.55,2195.6,2195.5,2195.6,22698.13106
5/30/2017,2265,2080.1,2105.6,2106,2105.2,2106,20354.07681
5/29/2017,2249.8,1990,2190.65,2193.4,2190,2191.3,16150.81342
5/28/2017,2194.4,1917.5,2030.85,2033,2030.5,2031.2,26069.90021
5/27/2017,2210.8,1810,1948.55,1949.9,1943,1954.1,47573.80229
5/26/2017,2477,2007,2110.25,2113.2,2108.3,2112.2,45454.17822
5/25/2017,2690,2250.2,2376.5,2377,2376,2377,49595.71102
5/24/2017,2444.9,2225.1,2378.55,2379.6,2377.4,2379.7,28763.23657
5/23/2017,2264.2,1978,2227.8,2228,2227.7,2227.9,25237.76081
5/22/2017,2222.2,1981.8,1981.85,1981.9,1981.8,1981.9,54979.7531
5/21/2017,2099.1,2000.1,2039.6,2037.9,2038.3,2040.9,17131.75096
5/20/2017,2069,1960.1,2067.85,2068,2067.7,2068,21219.21015
5/19/2017,2000,1924.9,1969.65,1970,1969.4,1969.9,23920.61666
5/18/2017,1948,1861,1944.95,1946.1,1943.9,1946,11723.37564
5/17/2017,1894,1766.3,1874.95,1874.9,1874.9,1875,15944.83831
5/16/2017,1795.1,1728,1781.65,1781.7,1781.6,1781.7,9777.050533
5/15/2017,1830.4,1719,1780.95,1781.8,1780.9,1781,15829.09402
5/14/2017,1852.4,1775.2,1815.85,1815.7,1815.7,1816,11353.81135
5/13/2017,1825,1666,1813.95,1814,1813.9,1814,16929.94604
5/12/2017,1868.5,1700.2,1769.95,1770,1769.9,1770,21081.95902
5/11/2017,1908.1,1763.6,1857.75,1858.2,1857.4,1858.1,24293.68144
5/10/2017,1817.4,1722.3,1780.1,1780,1779.8,1780.4,19118.84557
5/9/2017,1815,1689.2,1769.05,1769,1769,1769.1,31670.05534
5/8/2017,1715,1616.2,1698.75,1699,1698.5,1699,20064.44269
5/7/2017,1624.2,1575.1,1623.75,1623.6,1623.6,1623.9,12746.06897
5/6/2017,1605.1,1505,1593.25,1593.7,1592.8,1593.7,16715.25241
5/5/2017,1665.9,1528.8,1570.5,1571.7,1569.3,1571.7,31196.57167
5/4/2017,1702,1519,1583.9,1586.3,1582.9,1584.9,30321.29509
5/3/2017,1627,1541.9,1612.65,1613,1612.3,1613,17114.90945
5/2/2017,1604.6,1473,1549.7,1549.7,1549.5,1549.9,16704.96176
5/1/2017,1560,1432,1527.55,1527.6,1527.5,1527.6,22317.5659
4/30/2017,1443.7,1400.1,1441.65,1441.7,1441.6,1441.7,8531.03629
4/29/2017,1439.5,1398.9,1422.5,1424.2,1421.1,1423.9,9868.755014
4/28/2017,1447,1366,1398.95,1398.9,1398.9,1399,13114.24134
4/27/2017,1449.7,1392.5,1445.7,1445.6,1445.3,1446.1,10232.70591
4/26/2017,1411.7,1362.3,1404.05,1404,1404,1404.1,11651.33246
4/25/2017,1378.5,1342.1,1370.2,1370,1370,1370.4,8214.936713
4/24/2017,1359.6,1325,1344.3,1344.6,1343.9,1344.7,8120.009281
4/23/2017,1359,1336,1345.2,1345.3,1345.1,1345.3,7653.437917
4/22/2017,1354.9,1290,1343.1,1343,1343,1343.2,12268.71145
4/21/2017,1333.1,1301.2,1322.2,1322.3,1322.1,1322.3,8110.604546
4/20/2017,1326.9,1255,1301.85,1301.9,1301.8,1301.9,16745.78243
4/19/2017,1272,1254.3,1267.6,1268,1267.3,1267.9,6299.159142
4/18/2017,1274.8,1235,1266.15,1267.2,1265.5,1266.8,16602.49335
4/17/2017,1247,1202,1238.65,1238.4,1238.4,1238.9,14678.79793
4/16/2017,1217.6,1190,1215.15,1215.1,1215.1,1215.2,5119.110127
4/15/2017,1215,1191.3,1197.95,1197.9,1197.9,1198,9466.520604
4/14/2017,1219.2,1182,1208,1207.8,1207.5,1208.5,11480.03945
4/13/2017,1235.3,1163.3,1189.05,1189,1189,1189.1,19234.25176
4/12/2017,1244.3,1221,1225.55,1225.8,1225.3,1225.8,12332.63599
4/11/2017,1244.7,1209.1,1238.8,1238.4,1238.6,1239,9268.715259
4/10/2017,1229.9,1208,1217.95,1218.4,1217.5,1218.4,11897.63294
4/9/2017,1226.9,1179.4,1218.2,1218,1218,1218.4,16109.42701
4/8/2017,1202.9,1171,1184.75,1185,1184.5,1185,10912.98658
4/7/2017,1209,1176.7,1190.95,1191.2,1190.8,1191.1,20850.57356
4/6/2017,1206.4,1126.1,1198.95,1198.9,1198.9,1199,33363.11001
4/5/2017,1146.7,1111.2,1126.55,1126.6,1126.5,1126.6,21107.73197
4/4/2017,1165.6,1124,1135.85,1135.9,1135.8,1135.9,22908.55676
4/3/2017,1159.9,1104.4,1154.65,1155,1154.1,1155.2,28782.79662
4/2/2017,1118.2,1080.9,1109.65,1109.4,1109.5,1109.8,20407.29876
4/1/2017,1106.9,1070,1084.05,1084.1,1084,1084.1,17049.09264
3/31/2017,1089.4,1031.7,1081.05,1081,1081,1081.1,28196.43895
3/30/2017,1053.5,1021.2,1032.85,1032.9,1032.7,1033,23917.33022
3/29/2017,1059,1008.5,1037.6,1037.5,1037.4,1037.8,22457.04335
3/28/2017,1068.9,1016.2,1042.45,1042.5,1042.4,1042.5,26255.50359
3/27/2017,1042.5,954.3,1035.75,1035.8,1035.7,1035.8,31798.69966
3/26/2017,1006,950.1,956.35,956.4,956.3,956.4,34994.99109
3/25/2017,965,888.2,960.03,960.07,959.99,960.07,47622.26885
3/24/2017,1034.6,930,937.245,937.59,936.9,937.59,40100.84331
3/23/2017,1055,1018,1025.45,1025.6,1025.2,1025.7,19448.00246
3/22/2017,1116.6,985.55,1029.5,1029.4,1029.3,1029.7,40390.87395
3/21/2017,1122.3,1033.6,1116.55,1116.4,1116.5,1116.6,33610.83424
